Flinn_product_category,Flinn_product_sub_category,Flinn_product_id,Flinn_product_name,Flinn_product_quantity,Flinn_product_price,Flinn_product_url,Flinn_image_url,Nasco_product_category,Nasco_product_sub_category,Nasco_product_id,Nasco_product_name,Nasco_product_quantity,Nasco_product_price,Nasco_product_url,Nasco_image_url,Match_Score
Technology,3D Printers,AP9914,Emblaser 2 Laser Cutter and Engraver,1,$3345.26,https://www.flinnsci.com/emblaser-2-laser-cutter-and-engraver/ap9914/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/ap9914_1.jpg?format=webp&height=880&upscale=false,,,,No good match found (Low match score),,,,,0
Technology,3D Printers,WAPPLAAL,"PLA Specialty Filament, Aluminum",1,$29.98,https://www.flinnsci.com/pla-specialty-filament-aluminum/wapplaal/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/wap_pla.alum.jpg?format=webp&height=880&upscale=false,,,,No good match found (Low match score),,,,,0
Technology,3D Printers,WAPPLACPR,"PLA Specialty Filament, Copper",1,$29.98,https://www.flinnsci.com/pla-specialty-filament-copper/wapplacpr/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/wap_pla.copper.jpg?format=webp&height=880&upscale=false,,,,No good match found (Low match score),,,,,0
Technology,3D Printers,WAPABSNAT,"ABS Premium Filament, White",1,$67.76,https://www.flinnsci.com/abs-premium-filament-white/wapabsnat/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/wap_absnat.jpg?format=webp&height=880&upscale=false,,,,No good match found (Low match score),,,,,0
Technology,3D Printers,WAPABSYLW,"ABS Premium Filament, Yellow",1,$67.76,https://www.flinnsci.com/abs-premium-filament-yellow/wapabsylw/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/wap_absyellow.jpg?format=webp&height=880&upscale=false,,,,No good match found (Low match score),,,,,0
Technology,3D Printers,WAPABSGRN,"ABS Premium Filament, Green",1,$67.76,https://www.flinnsci.com/abs-premium-filament-green/wapabsgrn/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/wap_absgreen.jpg?format=webp&height=880&upscale=false,,,,No good match found (Low match score),,,,,0
Technology,3D Printers,WAPABSRED,"ABS Premium Filament, Red",1,$67.76,https://www.flinnsci.com/abs-premium-filament-red/wapabsred/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/wap_absred.jpg?format=webp&height=880&upscale=false,,,,No good match found (Low match score),,,,,0
Technology,3D Printers,WAPABSBLA,"ABS Premium Filament, Black",1,$67.76,https://www.flinnsci.com/abs-premium-filament-black/wapabsbla/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/wap_absblack.jpg?format=webp&height=880&upscale=false,Art Supplies & Crafts,Art Supplies,9736460(A),3 mm ABS Filament for 3D Printers - Black,1,$ 8.74,https://www.nascoeducation.com/3-mm-abs-filament-for-3d-printers-black.html,https://www.nascoeducation.com/media/catalog/product/cache/465f3046c8658da626e76b96d8ed42e5/9/7/9736460a-main_fiqy0q27euarnitj.jpg,0.42857142857142855
Technology,3D Printers,WAPABSBLU,"ABS Premium Filament, Blue",1,$67.76,https://www.flinnsci.com/abs-premium-filament-blue/wapabsblu/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/wap_absblue.jpg?format=webp&height=880&upscale=false,,,,No good match found (Low match score),,,,,0
Technology,3D Printers,AP9425,3Doodler® DoodlePad,1,$11.22,https://www.flinnsci.com/3doodler-doodlepad/ap9425/,https://www.flinnsci.com/globalassets/flinn-scientific/all-product-images-rgb-jpegs/ap9425.jpg?format=webp&height=880&upscale=false,,,,No good match found (Low match score),,,,,0
